url,has_section,has_data,error
https://fyers.co.in/stocks/cranes-software-international-ltd,True,True,
https://fyers.co.in/stocks/remi-edelstahl-tubulars-ltd,True,True,
https://fyers.co.in/stocks/amforge-industries-ltd,True,True,
https://fyers.co.in/stocks/grand-foundry-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/grand-foundry-ltd
https://fyers.co.in/stocks/p-m-telelinnks-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/p-m-telelinnks-ltd
https://fyers.co.in/stocks/jay-ushin-ltd,True,True,
https://fyers.co.in/stocks/trans-freight-containers-ltd,True,True,
https://fyers.co.in/stocks/g-s-auto-international-ltd,True,True,
https://fyers.co.in/stocks/acrow-india-ltd,True,True,
https://fyers.co.in/stocks/imec-services-ltd,True,True,
https://fyers.co.in/stocks/krishanveer-forge-ltd,True,True,
https://fyers.co.in/stocks/gujarat-toolroom-ltd,True,True,
https://fyers.co.in/stocks/maitri-enterprises-ltd,True,True,
https://fyers.co.in/stocks/bloom-industries-ltd,True,True,
https://fyers.co.in/stocks/southern-magnesium-chemicals,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/southern-magnesium-chemicals
https://fyers.co.in/stocks/vallabh-steels-ltd,True,True,
https://fyers.co.in/stocks/modern-steels-ltd,True,True,
https://fyers.co.in/stocks/kanishk-steel-industries-ltd,True,True,
https://fyers.co.in/stocks/mahalaxmi-seamless-ltd,True,True,
https://fyers.co.in/stocks/smiths-founders-india-ltd,True,True,
https://fyers.co.in/stocks/elango-industries-ltd,True,True,
https://fyers.co.in/stocks/sizemasters-technology-ltd,True,True,
https://fyers.co.in/stocks/simplex-castings-ltd,True,True,
https://fyers.co.in/stocks/gujarat-containers-ltd,True,True,
https://fyers.co.in/stocks/shree-steel-wire-ropes-ltd,True,True,
https://fyers.co.in/stocks/aditya-ispat-ltd,True,True,
https://fyers.co.in/stocks/tamilnadu-steel-tubes-ltd,True,True,
https://fyers.co.in/stocks/sterling-powergensys-ltd,True,True,
https://fyers.co.in/stocks/panchmahal-steel-ltd,True,True,
https://fyers.co.in/stocks/glittek-granites-ltd,True,True,
https://fyers.co.in/stocks/foundry-fuel-products-ltd,True,True,
https://fyers.co.in/stocks/tulsyan-nec-ltd,True,True,
https://fyers.co.in/stocks/baroda-extrusion-ltd,True,True,
https://fyers.co.in/stocks/nova-iron-steel-ltd,True,True,
https://fyers.co.in/stocks/sharda-ispat-ltd,True,True,
https://fyers.co.in/stocks/axel-polymers-ltd,True,True,
https://fyers.co.in/stocks/solid-stone-company-ltd,True,True,
https://fyers.co.in/stocks/konark-synthetic-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/konark-synthetic-ltd
https://fyers.co.in/stocks/spectra-industries-ltd,True,True,
https://fyers.co.in/stocks/kic-metaliks-ltd,True,True,
https://fyers.co.in/stocks/suryavanshi-spinning-mills-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/suryavanshi-spinning-mills-ltd
https://fyers.co.in/stocks/rajkamal-synthetics-ltd,True,True,
https://fyers.co.in/stocks/rudra-ecovation-ltd,True,True,
https://fyers.co.in/stocks/k-lifestyle-industries-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/k-lifestyle-industries-ltd
https://fyers.co.in/stocks/rishab-special-yarns-ltd,True,True,
https://fyers.co.in/stocks/mfs-intercorp-ltd,True,True,
https://fyers.co.in/stocks/shilp-gravures-ltd,True,True,
https://fyers.co.in/stocks/pbm-polytex-ltd,True,True,
https://fyers.co.in/stocks/ttl-enterprises-ltd,True,True,
https://fyers.co.in/stocks/deepak-spinners-ltd,True,True,
https://fyers.co.in/stocks/ceeta-industries-ltd,True,True,
https://fyers.co.in/stocks/adinath-textiles-ltd,True,True,
https://fyers.co.in/stocks/ramgopal-polytex-ltd,True,True,
https://fyers.co.in/stocks/s-t-corporation-ltd,True,True,
https://fyers.co.in/stocks/indian-acrylics-ltd,True,True,
https://fyers.co.in/stocks/surbhi-industries-ltd,True,True,
https://fyers.co.in/stocks/sreechem-resins-ltd,True,True,
https://fyers.co.in/stocks/kush-industries-ltd,True,True,
https://fyers.co.in/stocks/mkventures-capital-ltd,True,True,
https://fyers.co.in/stocks/seasons-textiles-ltd,True,True,
